time,data
0.112,5.58241
0.113,3.20789
0.114,0.0468205
0.115,-3.21041
0.116,-6.06889
0.117,-8.36345
0.118,-10.1348
0.119,-11.3675
0.12,-11.7964
0.121,-10.9437
0.122,-8.39842
0.123,-4.18371
0.124,1.02337
0.125,6
0.126,9.41991
0.127,10.4415
0.128,9.14509
0.129,6.56949
0.13,4.28582
0.131,3.68163
0.132,5.28932
0.133,8.48964
0.134,11.7501
0.135,13.3006
0.136,11.9334
0.137,7.55518
0.138,1.23512
0.139,-5.25727
0.14,-10.1944
0.141,-12.5584
0.142,-12.338
0.143,-10.3569
0.144,-7.768
0.145,-5.49602
0.146,-3.90405
0.147,-2.81118
0.148,-1.78847
0.149,-0.519133
0.15,1
0.151,2.51913
0.152,3.78847
0.153,4.81118
0.154,5.90405
0.155,7.49602
0.156,9.768
0.157,12.3569
0.158,14.338
0.159,14.5584
0.16,12.1944
0.161,7.25727
0.162,0.764875
0.163,-5.55518
0.164,-9.93345
0.165,-11.3006
0.166,-9.75014
0.167,-6.48964
0.168,-3.28932
0.169,-1.68163
0.17,-2.28582
0.171,-4.56949
0.172,-7.14509
0.173,-8.4415
0.174,-7.41991
0.175,-4
0.176,0.976627
0.177,6.18371
0.178,10.3984
0.179,12.9437
0.18,13.7964
0.181,13.3675
0.182,12.1348
0.183,10.3635
0.184,8.06889
0.185,5.21041
0.186,1.95318
0.187,-1.20789
0.188,-3.58241
0.189,-4.62936
0.19,-4.31657
0.191,-3.26063
0.192,-2.51511
0.193,-3.06721
0.194,-5.2811
0.195,-8.58619
0.196,-11.6092
0.197,-12.7323
0.198,-10.8367
0.199,-5.8774
0.2,1
0.201,7.8774
0.202,12.8367
0.203,14.7323
0.204,13.6092
0.205,10.5862
0.206,7.2811
0.207,5.06721
0.208,4.51511
0.209,5.26063
0.21,6.31657
0.211,6.62936
0.212,5.58241
0.213,3.20789
0.214,0.0468205
0.215,-3.21041
0.216,-6.06889
0.217,-8.36345
0.218,-10.1348
0.219,-11.3675
0.22,-11.7964
0.221,-10.9437
0.222,-8.39842
0.223,-4.18371
0.224,1.02337
0.225,6
0.226,9.41991
0.227,10.4415
0.228,9.14509
0.229,6.56949
0.23,4.28582
0.231,3.68163
0.232,5.28932
0.233,8.48964
0.234,11.7501
0.235,13.3006
0.236,11.9334
0.237,7.55518
0.238,1.23512
0.239,-5.25727
0.24,-10.1944
0.241,-12.5584
0.242,-12.338
0.243,-10.3569
0.244,-7.768
0.245,-5.49602
0.246,-3.90405
0.247,-2.81118
0.248,-1.78847
0.249,-0.519133
0.25,1
0.251,2.51913
0.252,3.78847
0.253,4.81118
0.254,5.90405
0.255,7.49602
0.256,9.768
0.257,12.3569
0.258,14.338
0.259,14.5584
0.26,12.1944
0.261,7.25727
0.262,0.764875
0.263,-5.55518
0.264,-9.93345
0.265,-11.3006
0.266,-9.75014
0.267,-6.48964
0.268,-3.28932
0.269,-1.68163
0.27,-2.28582
0.271,-4.56949
0.272,-7.14509
0.273,-8.4415
0.274,-7.41991
0.275,-4
0.276,0.976627
0.277,6.18371
0.278,10.3984
0.279,12.9437
0.28,13.7964
0.281,13.3675
0.282,12.1348
0.283,10.3635
0.284,8.06889
0.285,5.21041
0.286,1.95318
0.287,-1.20789
0.288,-3.58241
0.289,-4.62936
0.29,-4.31657
0.291,-3.26063
0.292,-2.51511
0.293,-3.06721
0.294,-5.2811
0.295,-8.58619
0.296,-11.6092
0.297,-12.7323
0.298,-10.8367
0.299,-5.8774
0.3,1
0.301,7.8774
0.302,12.8367
0.303,14.7323
0.304,13.6092
0.305,10.5862
0.306,7.2811
0.307,5.06721
0.308,4.51511
0.309,5.26063
0.31,6.31657
0.311,6.62936
0.312,5.58241
0.313,3.20789
0.314,0.0468205
0.315,-3.21041
0.316,-6.06889
0.317,-8.36345
0.318,-10.1348
0.319,-11.3675
0.32,-11.7964
0.321,-10.9437
0.322,-8.39842
0.323,-4.18371
0.324,1.02337
0.325,6
0.326,9.41991
0.327,10.4415
0.328,9.14509
0.329,6.56949
0.33,4.28582
0.331,3.68163
0.332,5.28932
0.333,8.48964
0.334,11.7501
0.335,13.3006
0.336,11.9334
0.337,7.55518
0.338,1.23512
0.339,-5.25727
0.34,-10.1944
0.341,-12.5584
0.342,-12.338
0.343,-10.3569
0.344,-7.768
0.345,-5.49602
0.346,-3.90405
0.347,-2.81118
0.348,-1.78847
0.349,-0.519133
0.35,1
0.351,2.51913
0.352,3.78847
0.353,4.81118
0.354,5.90405
0.355,7.49602
0.356,9.768
0.357,12.3569
0.358,14.338
0.359,14.5584
0.36,12.1944
0.361,7.25727
0.362,0.764875
0.363,-5.55518
0.364,-9.93345
0.365,-11.3006
0.366,-9.75014
0.367,-6.48964
0.368,-3.28932
0.369,-1.68163
0.37,-2.28582
0.371,-4.56949
0.372,-7.14509
0.373,-8.4415
0.374,-7.41991
0.375,-4
0.376,0.976627
0.377,6.18371
0.378,10.3984
0.379,12.9437
0.38,13.7964
0.381,13.3675
0.382,12.1348
0.383,10.3635
0.384,8.06889
0.385,5.21041
0.386,1.95318
0.387,-1.20789
0.388,-3.58241
0.389,-4.62936
0.39,-4.31657
0.391,-3.26063
0.392,-2.51511
0.393,-3.06721
0.394,-5.2811
0.395,-8.58619
0.396,-11.6092
0.397,-12.7323
0.398,-10.8367
0.399,-5.8774
0.4,1
0.401,7.8774
0.402,12.8367
0.403,14.7323
0.404,13.6092
0.405,10.5862
0.406,7.2811
0.407,5.06721
0.408,4.51511
0.409,5.26063
0.41,6.31657
0.411,6.62936
0.412,5.58241
0.413,3.20789
0.414,0.0468205
0.415,-3.21041
0.416,-6.06889
0.417,-8.36345
0.418,-10.1348
0.419,-11.3675
0.42,-11.7964
0.421,-10.9437
0.422,-8.39842
0.423,-4.18371
0.424,1.02337
0.425,6
0.426,9.41991
0.427,10.4415
0.428,9.14509
0.429,6.56949
0.43,4.28582
0.431,3.68163
0.432,5.28932
0.433,8.48964
0.434,11.7501
0.435,13.3006
0.436,11.9334
0.437,7.55518
0.438,1.23512
0.439,-5.25727
0.44,-10.1944
0.441,-12.5584
0.442,-12.338
0.443,-10.3569
0.444,-7.768
0.445,-5.49602
0.446,-3.90405
0.447,-2.81118
0.448,-1.78847
0.449,-0.519133
0.45,1
0.451,2.51913
0.452,3.78847
0.453,4.81118
0.454,5.90405
0.455,7.49602
0.456,9.768
0.457,12.3569
0.458,14.338
0.459,14.5584
0.46,12.1944
0.461,7.25727
0.462,0.764875
0.463,-5.55518
0.464,-9.93345
0.465,-11.3006
0.466,-9.75014
0.467,-6.48964
0.468,-3.28932
0.469,-1.68163
0.47,-2.28582
0.471,-4.56949
0.472,-7.14509
0.473,-8.4415
0.474,-7.41991
0.475,-4
0.476,0.976627
0.477,6.18371
0.478,10.3984
0.479,12.9437
0.48,13.7964
0.481,13.3675
0.482,12.1348
0.483,10.3635
0.484,8.06889
0.485,5.21041
0.486,1.95318
0.487,-1.20789
0.488,-3.58241
0.489,-4.62936
0.49,-4.31657
0.491,-3.26063
0.492,-2.51511
0.493,-3.06721
0.494,-5.2811
0.495,-8.58619
0.496,-11.6092
0.497,-12.7323
0.498,-10.8367
0.499,-5.8774
0.5,1
0.501,7.8774
0.502,12.8367
0.503,14.7323
0.504,13.6092
0.505,10.5862
0.506,7.2811
0.507,5.06721
0.508,4.51511
0.509,5.26063
0.51,6.31657
0.511,6.62936
0.512,5.58241
0.513,3.20789
0.514,0.0468205
0.515,-3.21041
0.516,-6.06889
0.517,-8.36345
0.518,-10.1348
0.519,-11.3675
0.52,-11.7964
0.521,-10.9437
0.522,-8.39842
0.523,-4.18371
0.524,1.02337
0.525,6
0.526,9.41991
0.527,10.4415
0.528,9.14509
0.529,6.56949
0.53,4.28582
0.531,3.68163
0.532,5.28932
0.533,8.48964
0.534,11.7501
0.535,13.3006
0.536,11.9334
0.537,7.55518
0.538,1.23512
0.539,-5.25727
0.54,-10.1944
0.541,-12.5584
0.542,-12.338
0.543,-10.3569
0.544,-7.768
0.545,-5.49602
0.546,-3.90405
0.547,-2.81118
0.548,-1.78847
0.549,-0.519133
0.55,1
0.551,2.51913
0.552,3.78847
0.553,4.81118
0.554,5.90405
0.555,7.49602
0.556,9.768
0.557,12.3569
0.558,14.338
0.559,14.5584
0.56,12.1944
0.561,7.25727
0.562,0.764875
0.563,-5.55518
0.564,-9.93345
0.565,-11.3006
0.566,-9.75014
0.567,-6.48964
0.568,-3.28932
0.569,-1.68163
0.57,-2.28582
0.571,-4.56949
0.572,-7.14509
0.573,-8.4415
0.574,-7.41991
0.575,-4
0.576,0.976627
0.577,6.18371
0.578,10.3984
0.579,12.9437
0.58,13.7964
0.581,13.3675
0.582,12.1348
0.583,10.3635
0.584,8.06889
0.585,5.21041
0.586,1.95318
0.587,-1.20789
0.588,-3.58241
0.589,-4.62936
0.59,-4.31657
0.591,-3.26063
0.592,-2.51511
0.593,-3.06721
0.594,-5.2811
0.595,-8.58619
0.596,-11.6092
0.597,-12.7323
0.598,-10.8367
0.599,-5.8774
0.6,1
0.601,7.8774
0.602,12.8367
0.603,14.7323
0.604,13.6092
0.605,10.5862
0.606,7.2811
0.607,5.06721
0.608,4.51511
0.609,5.26063
0.61,6.31657
0.611,6.62936
0.612,5.58241
0.613,3.20789
0.614,0.0468205
0.615,-3.21041
0.616,-6.06889
0.617,-8.36345
0.618,-10.1348
0.619,-11.3675
0.62,-11.7964
0.621,-10.9437
0.622,-8.39842
0.623,-4.18371
0.624,1.02337
0.625,6
0.626,9.41991
0.627,10.4415
0.628,9.14509
0.629,6.56949
0.63,4.28582
0.631,3.68163
0.632,5.28932
0.633,8.48964
0.634,11.7501
0.635,13.3006
0.636,11.9334
0.637,7.55518
0.638,1.23512
0.639,-5.25727
0.64,-10.1944
0.641,-12.5584
0.642,-12.338
0.643,-10.3569
0.644,-7.768
0.645,-5.49602
0.646,-3.90405
0.647,-2.81118
0.648,-1.78847
0.649,-0.519133
0.65,1
0.651,2.51913
0.652,3.78847
0.653,4.81118
0.654,5.90405
0.655,7.49602
0.656,9.768
0.657,12.3569
0.658,14.338
0.659,14.5584
0.66,12.1944
0.661,7.25727
0.662,0.764875
0.663,-5.55518
0.664,-9.93345
0.665,-11.3006
0.666,-9.75014
0.667,-6.48964
0.668,-3.28932
0.669,-1.68163
0.67,-2.28582
0.671,-4.56949
0.672,-7.14509
0.673,-8.4415
0.674,-7.41991
0.675,-4
0.676,0.976627
0.677,6.18371
0.678,10.3984
0.679,12.9437
0.68,13.7964
0.681,13.3675
0.682,12.1348
0.683,10.3635
0.684,8.06889
0.685,5.21041
0.686,1.95318
0.687,-1.20789
0.688,-3.58241
0.689,-4.62936
0.69,-4.31657
0.691,-3.26063
0.692,-2.51511
0.693,-3.06721
0.694,-5.2811
0.695,-8.58619
0.696,-11.6092
0.697,-12.7323
0.698,-10.8367
0.699,-5.8774
0.7,1
0.701,7.8774
0.702,12.8367
0.703,14.7323
0.704,13.6092
0.705,10.5862
0.706,7.2811
0.707,5.06721
0.708,4.51511
0.709,5.26063
0.71,6.31657
0.711,6.62936
0.712,5.58241
0.713,3.20789
0.714,0.0468205
0.715,-3.21041
0.716,-6.06889
0.717,-8.36345
0.718,-10.1348
0.719,-11.3675
0.72,-11.7964
0.721,-10.9437
0.722,-8.39842
0.723,-4.18371
0.724,1.02337
0.725,6
0.726,9.41991
0.727,10.4415
0.728,9.14509
0.729,6.56949
0.73,4.28582
0.731,3.68163
0.732,5.28932
0.733,8.48964
0.734,11.7501
0.735,13.3006
0.736,11.9334
0.737,7.55518
0.738,1.23512
0.739,-5.25727
0.74,-10.1944
0.741,-12.5584
0.742,-12.338
0.743,-10.3569
0.744,-7.768
0.745,-5.49602
0.746,-3.90405
0.747,-2.81118
0.748,-1.78847
0.749,-0.519133
0.75,1
0.751,2.51913
0.752,3.78847
0.753,4.81118
0.754,5.90405
0.755,7.49602
0.756,9.768
0.757,12.3569
0.758,14.338
0.759,14.5584
0.76,12.1944
0.761,7.25727
0.762,0.764875
0.763,-5.55518
0.764,-9.93345
0.765,-11.3006
0.766,-9.75014
0.767,-6.48964
0.768,-3.28932
0.769,-1.68163
0.77,-2.28582
0.771,-4.56949
0.772,-7.14509
0.773,-8.4415
0.774,-7.41991
0.775,-4
0.776,0.976627
0.777,6.18371
0.778,10.3984
0.779,12.9437
0.78,13.7964
0.781,13.3675
0.782,12.1348
0.783,10.3635
0.784,8.06889
0.785,5.21041
0.786,1.95318
0.787,-1.20789
0.788,-3.58241
0.789,-4.62936
0.79,-4.31657
0.791,-3.26063
0.792,-2.51511
0.793,-3.06721
0.794,-5.2811
0.795,-8.58619
0.796,-11.6092
0.797,-12.7323
0.798,-10.8367
0.799,-5.8774
0.8,1
0.801,7.8774
0.802,12.8367
0.803,14.7323
0.804,13.6092
0.805,10.5862
0.806,7.2811
0.807,5.06721
0.808,4.51511
0.809,5.26063
0.81,6.31657
0.811,6.62936
0.812,5.58241
0.813,3.20789
0.814,0.0468205
0.815,-3.21041
0.816,-6.06889
0.817,-8.36345
0.818,-10.1348
0.819,-11.3675
0.82,-11.7964
0.821,-10.9437
0.822,-8.39842
0.823,-4.18371
0.824,1.02337
0.825,6
0.826,9.41991
0.827,10.4415
0.828,9.14509
0.829,6.56949
0.83,4.28582
0.831,3.68163
0.832,5.28932
0.833,8.48964
0.834,11.7501
0.835,13.3006
0.836,11.9334
0.837,7.55518
0.838,1.23512
0.839,-5.25727
0.84,-10.1944
0.841,-12.5584
0.842,-12.338
0.843,-10.3569
0.844,-7.768
0.845,-5.49602
0.846,-3.90405
0.847,-2.81118
0.848,-1.78847
0.849,-0.519133
0.85,1
0.851,2.51913
0.852,3.78847
0.853,4.81118
0.854,5.90405
0.855,7.49602
0.856,9.768
0.857,12.3569
0.858,14.338
0.859,14.5584
0.86,12.1944
0.861,7.25727
0.862,0.764875
0.863,-5.55518
0.864,-9.93345
0.865,-11.3006
0.866,-9.75014
0.867,-6.48964
0.868,-3.28932
0.869,-1.68163
0.87,-2.28582
0.871,-4.56949
0.872,-7.14509
0.873,-8.4415
0.874,-7.41991
0.875,-4
0.876,0.976627
0.877,6.18371
0.878,10.3984
0.879,12.9437
0.88,13.7964
0.881,13.3675
0.882,12.1348
0.883,10.3635
0.884,8.06889
0.885,5.21041
0.886,1.95318
0.887,-1.20789
0.888,-3.58241
0.889,-4.62936
0.89,-4.31657
0.891,-3.26063
0.892,-2.51511
0.893,-3.06721
0.894,-5.2811
0.895,-8.58619
0.896,-11.6092
0.897,-12.7323
0.898,-10.8367
0.899,-5.8774
0.9,1
0.901,7.8774
0.902,12.8367
0.903,14.7323
0.904,13.6092
0.905,10.5862
0.906,7.2811
0.907,5.06721
0.908,4.51511
0.909,5.26063
0.91,6.31657
0.911,6.62936
0.912,5.58241
0.913,3.20789
0.914,0.0468205
0.915,-3.21041
0.916,-6.06889
0.917,-8.36345
0.918,-10.1348
0.919,-11.3675
0.92,-11.7964
0.921,-10.9437
0.922,-8.39842
0.923,-4.18371
0.924,1.02337
0.925,6
0.926,9.41991
0.927,10.4415
0.928,9.14509
0.929,6.56949
0.93,4.28582
0.931,3.68163
0.932,5.28932
0.933,8.48964
0.934,11.7501
0.935,13.3006
0.936,11.9334
0.937,7.55518
0.938,1.23512
0.939,-5.25727
0.94,-10.1944
0.941,-12.5584
0.942,-12.338
0.943,-10.3569
0.944,-7.768
0.945,-5.49602
0.946,-3.90405
0.947,-2.81118
0.948,-1.78847
0.949,-0.519133
0.95,1
0.951,2.51913
0.952,3.78847
0.953,4.81118
0.954,5.90405
0.955,7.49602
0.956,9.768
0.957,12.3569
0.958,14.338
0.959,14.5584
0.96,12.1944
0.961,7.25727
0.962,0.764875
0.963,-5.55518
0.964,-9.93345
0.965,-11.3006
0.966,-9.75014
0.967,-6.48964
0.968,-3.28932
0.969,-1.68163
0.97,-2.28582
0.971,-4.56949
0.972,-7.14509
0.973,-8.4415
0.974,-7.41991
0.975,-4
0.976,0.976627
0.977,6.18371
0.978,10.3984
0.979,12.9437
0.98,13.7964
0.981,13.3675
0.982,12.1348
0.983,10.3635
0.984,8.06889
0.985,5.21041
0.986,1.95318
0.987,-1.20789
0.988,-3.58241
0.989,-4.62936
0.99,-4.31657
0.991,-3.26063
0.992,-2.51511
0.993,-3.06721
0.994,-5.2811
0.995,-8.58619
0.996,-11.6092
0.997,-12.7323
0.998,-10.8367
0.999,-5.8774
1,1
1.001,7.8774
1.002,12.8367
1.003,14.7323
1.004,13.6092
1.005,10.5862
1.006,7.2811
1.007,5.06721
1.008,4.51511
1.009,5.26063
1.01,6.31657
1.011,6.62936
1.012,5.58241
1.013,3.20789
1.014,0.0468205
1.015,-3.21041
1.016,-6.06889
1.017,-8.36345
1.018,-10.1348
1.019,-11.3675
1.02,-11.7964
1.021,-10.9437
1.022,-8.39842
1.023,-4.18371
1.024,1.02337
1.025,6
1.026,9.41991
1.027,10.4415
1.028,9.14509
1.029,6.56949
1.03,4.28582
1.031,3.68163
1.032,5.28932
1.033,8.48964
1.034,11.7501
1.035,13.3006
1.036,11.9334
1.037,7.55518
1.038,1.23512
1.039,-5.25727
1.04,-10.1944
1.041,-12.5584
1.042,-12.338
1.043,-10.3569
1.044,-7.768
1.045,-5.49602
1.046,-3.90405
1.047,-2.81118
1.048,-1.78847
1.049,-0.519133
1.05,1
1.051,2.51913
1.052,3.78847
1.053,4.81118
1.054,5.90405
1.055,7.49602
1.056,9.768
1.057,12.3569
1.058,14.338
1.059,14.5584
1.06,12.1944
1.061,7.25727
1.062,0.764875
1.063,-5.55518
1.064,-9.93345
1.065,-11.3006
1.066,-9.75014
1.067,-6.48964
1.068,-3.28932
1.069,-1.68163
1.07,-2.28582
1.071,-4.56949
1.072,-7.14509
1.073,-8.4415
1.074,-7.41991
1.075,-4
1.076,0.976627
1.077,6.18371
1.078,10.3984
1.079,12.9437
1.08,13.7964
1.081,13.3675
1.082,12.1348
1.083,10.3635
1.084,8.06889
1.085,5.21041
1.086,1.95318
1.087,-1.20789
1.088,-3.58241
1.089,-4.62936
1.09,-4.31657
1.091,-3.26063
1.092,-2.51511
1.093,-3.06721
1.094,-5.2811
1.095,-8.58619
1.096,-11.6092
1.097,-12.7323
1.098,-10.8367
1.099,-5.8774
1.1,1
1.101,7.8774
1.102,12.8367
1.103,14.7323
1.104,13.6092
1.105,10.5862
1.106,7.2811
1.107,5.06721
1.108,4.51511
1.109,5.26063
1.11,6.31657
1.111,6.62936
1.112,5.58241
1.113,3.20789
1.114,0.0468205
1.115,-3.21041
1.116,-6.06889
1.117,-8.36345
1.118,-10.1348
1.119,-11.3675
1.12,-11.7964
1.121,-10.9437
1.122,-8.39842
1.123,-4.18371
1.124,1.02337
1.125,6
1.126,9.41991
1.127,10.4415
1.128,9.14509
1.129,6.56949
1.13,4.28582
1.131,3.68163
1.132,5.28932
1.133,8.48964
1.134,11.7501
1.135,13.3006
1.136,11.9334
1.137,7.55518
1.138,1.23512
1.139,-5.25727
1.14,-10.1944
1.141,-12.5584
1.142,-12.338
1.143,-10.3569
1.144,-7.768
1.145,-5.49602
1.146,-3.90405
1.147,-2.81118
1.148,-1.78847
1.149,-0.519133
1.15,1
1.151,2.51913
1.152,3.78847
1.153,4.81118
1.154,5.90405
1.155,7.49602
1.156,9.768
1.157,12.3569
1.158,14.338
1.159,14.5584
1.16,12.1944
1.161,7.25727
1.162,0.764875
1.163,-5.55518
1.164,-9.93345
1.165,-11.3006
1.166,-9.75014
1.167,-6.48964
1.168,-3.28932
1.169,-1.68163
1.17,-2.28582
1.171,-4.56949
1.172,-7.14509
1.173,-8.4415
1.174,-7.41991
1.175,-4
1.176,0.976627
1.177,6.18371
1.178,10.3984
1.179,12.9437
1.18,13.7964
1.181,13.3675
1.182,12.1348
1.183,10.3635
1.184,8.06889
1.185,5.21041
1.186,1.95318
1.187,-1.20789
1.188,-3.58241
1.189,-4.62936
1.19,-4.31657
1.191,-3.26063
1.192,-2.51511
1.193,-3.06721
1.194,-5.2811
1.195,-8.58619
1.196,-11.6092
1.197,-12.7323
1.198,-10.8367
1.199,-5.8774
1.2,1
1.201,7.8774
1.202,12.8367
1.203,14.7323
1.204,13.6092
1.205,10.5862
1.206,7.2811
1.207,5.06721
1.208,4.51511
1.209,5.26063
1.21,6.31657
1.211,6.62936
1.212,5.58241
1.213,3.20789
1.214,0.0468205
1.215,-3.21041
1.216,-6.06889
1.217,-8.36345
1.218,-10.1348
1.219,-11.3675
1.22,-11.7964
1.221,-10.9437
1.222,-8.39842
1.223,-4.18371
1.224,1.02337
1.225,6
1.226,9.41991
1.227,10.4415
1.228,9.14509
1.229,6.56949
1.23,4.28582
1.231,3.68163
1.232,5.28932
1.233,8.48964
1.234,11.7501
1.235,13.3006
1.236,11.9334
1.237,7.55518
1.238,1.23512
1.239,-5.25727
1.24,-10.1944
1.241,-12.5584
1.242,-12.338
1.243,-10.3569
1.244,-7.768
1.245,-5.49602
1.246,-3.90405
1.247,-2.81118
1.248,-1.78847
1.249,-0.519133
1.25,1
1.251,2.51913
1.252,3.78847
1.253,4.81118
1.254,5.90405
1.255,7.49602
1.256,9.768
1.257,12.3569
1.258,14.338
1.259,14.5584
1.26,12.1944
1.261,7.25727
1.262,0.764875
1.263,-5.55518
1.264,-9.93345
1.265,-11.3006
1.266,-9.75014
1.267,-6.48964
1.268,-3.28932
1.269,-1.68163
1.27,-2.28582
1.271,-4.56949
1.272,-7.14509
1.273,-8.4415
1.274,-7.41991
1.275,-4
1.276,0.976627
1.277,6.18371
1.278,10.3984
1.279,12.9437
1.28,13.7964
1.281,13.3675
1.282,12.1348
1.283,10.3635
1.284,8.06889
1.285,5.21041
1.286,1.95318
1.287,-1.20789
1.288,-3.58241
1.289,-4.62936
1.29,-4.31657
1.291,-3.26063
1.292,-2.51511
1.293,-3.06721
1.294,-5.2811
1.295,-8.58619
1.296,-11.6092
1.297,-12.7323
1.298,-10.8367
1.299,-5.8774
1.3,1
1.301,7.8774
1.302,12.8367
1.303,14.7323
1.304,13.6092
1.305,10.5862
1.306,7.2811
1.307,5.06721
1.308,4.51511
1.309,5.26063
1.31,6.31657
1.311,6.62936
1.312,5.58241
1.313,3.20789
1.314,0.0468205
1.315,-3.21041
1.316,-6.06889
1.317,-8.36345
1.318,-10.1348
1.319,-11.3675
1.32,-11.7964
1.321,-10.9437
1.322,-8.39842
1.323,-4.18371
1.324,1.02337
1.325,6
1.326,9.41991
1.327,10.4415
1.328,9.14509
1.329,6.56949
1.33,4.28582
1.331,3.68163
1.332,5.28932
1.333,8.48964
1.334,11.7501
1.335,13.3006
1.336,11.9334
1.337,7.55518
1.338,1.23512
1.339,-5.25727
1.34,-10.1944
1.341,-12.5584
1.342,-12.338
1.343,-10.3569
1.344,-7.768
1.345,-5.49602
1.346,-3.90405
1.347,-2.81118
1.348,-1.78847
1.349,-0.519133
1.35,1
1.351,2.51913
1.352,3.78847
1.353,4.81118
1.354,5.90405
1.355,7.49602
1.356,9.768
1.357,12.3569
1.358,14.338
1.359,14.5584
1.36,12.1944
1.361,7.25727
1.362,0.764875
1.363,-5.55518
1.364,-9.93345
1.365,-11.3006
1.366,-9.75014
1.367,-6.48964
1.368,-3.28932
1.369,-1.68163
1.37,-2.28582
1.371,-4.56949
1.372,-7.14509
1.373,-8.4415
1.374,-7.41991
1.375,-4
1.376,0.976627
1.377,6.18371
1.378,10.3984
1.379,12.9437
1.38,13.7964
1.381,13.3675
1.382,12.1348
1.383,10.3635
1.384,8.06889
1.385,5.21041
1.386,1.95318
1.387,-1.20789
1.388,-3.58241
1.389,-4.62936
1.39,-4.31657
1.391,-3.26063
1.392,-2.51511
1.393,-3.06721
1.394,-5.2811
1.395,-8.58619
1.396,-11.6092
1.397,-12.7323
1.398,-10.8367
1.399,-5.8774
1.4,1
1.401,7.8774
1.402,12.8367
1.403,14.7323
1.404,13.6092
1.405,10.5862
1.406,7.2811
1.407,5.06721
1.408,4.51511
1.409,5.26063
1.41,6.31657
1.411,6.62936
1.412,5.58241
1.413,3.20789
1.414,0.0468205
1.415,-3.21041
1.416,-6.06889
1.417,-8.36345
1.418,-10.1348
1.419,-11.3675
1.42,-11.7964
1.421,-10.9437
1.422,-8.39842
1.423,-4.18371
1.424,1.02337
1.425,6
1.426,9.41991
1.427,10.4415
1.428,9.14509
1.429,6.56949
1.43,4.28582
1.431,3.68163
1.432,5.28932
1.433,8.48964
1.434,11.7501
1.435,13.3006
1.436,11.9334
1.437,7.55518
1.438,1.23512
1.439,-5.25727
1.44,-10.1944
1.441,-12.5584
1.442,-12.338
1.443,-10.3569
1.444,-7.768
1.445,-5.49602
1.446,-3.90405
1.447,-2.81118
1.448,-1.78847
1.449,-0.519133
1.45,1
1.451,2.51913
1.452,3.78847
1.453,4.81118
1.454,5.90405
1.455,7.49602
1.456,9.768
1.457,12.3569
1.458,14.338
1.459,14.5584
1.46,12.1944
1.461,7.25727
1.462,0.764875
1.463,-5.55518
1.464,-9.93345
1.465,-11.3006
1.466,-9.75014
1.467,-6.48964
1.468,-3.28932
1.469,-1.68163
1.47,-2.28582
1.471,-4.56949
1.472,-7.14509
1.473,-8.4415
1.474,-7.41991
1.475,-4
1.476,0.976627
1.477,6.18371
1.478,10.3984
1.479,12.9437
1.48,13.7964
1.481,13.3675
1.482,12.1348
1.483,10.3635
1.484,8.06889
1.485,5.21041
1.486,1.95318
1.487,-1.20789
1.488,-3.58241
1.489,-4.62936
1.49,-4.31657
1.491,-3.26063
1.492,-2.51511
1.493,-3.06721
1.494,-5.2811
1.495,-8.58619
1.496,-11.6092
1.497,-12.7323
1.498,-10.8367
1.499,-5.8774
1.5,1
1.501,7.8774
1.502,12.8367
